CHAIN_ID, CLIENT, CONNECTION, CHANNEL, PORT, COUNTERPARTY_CHAIN, COUNTERPARTY_CLIENT, COUNTERPARTY_CONNECTION, COUNTERPARTY_CHANNEL, COUNTERPARTY_PORT
bbn-test-5, 07-tendermint-11, connection-9, channel-6, transfer, grand-1, 07-tendermint-420, connection-386, channel-329, transfer
bbn-test-5, 07-tendermint-11, connection-9, channel-7, transfer, grand-1, 07-tendermint-420, connection-386, channel-329, transfer
bbn-test-5, 07-tendermint-12, connection-11, channel-8, transfer, provider, 07-tendermint-248, connection-179, channel-347, transfer
bbn-test-5, 07-tendermint-12, connection-11, channel-9, transfer, provider, 07-tendermint-248, connection-179, channel-347, transfer
bbn-test-5, 07-tendermint-17, connection-15, channel-13, transfer, axelar-testnet-lisbon-3, 07-tendermint-1106, connection-862, channel-598, transfer
bbn-test-5, 07-tendermint-18, connection-16, channel-14, transfer, provider, 07-tendermint-256, connection-183, channel-351, transfer
bbn-test-5, 07-tendermint-20, connection-17, channel-15, transfer, ceers-2112, 07-tendermint-5, connection-4, channel-4, transfer
bbn-test-5, 07-tendermint-21, connection-19, channel-16, transfer, ceers-2112, 07-tendermint-6, connection-5, channel-5, transfer
bbn-test-5, 07-tendermint-22, connection-21, channel-17, transfer, axelar-testnet-lisbon-3, 07-tendermint-1109, connection-865, channel-601, transfer
