CHAIN_ID, CLIENT, CONNECTION, CHANNEL, PORT, COUNTERPARTY_CHAIN, COUNTERPARTY_CLIENT, COUNTERPARTY_CONNECTION, COUNTERPARTY_CHANNEL, COUNTERPARTY_PORT
neutron-1, 07-tendermint-19, connection-18, channel-397, icacontroller-neutron1fteql4math22n7d9y8cplxyflfd0y3xrk3hzysjlmuggndnjdfkszcqyna.rick-osmo-1, osmosis-1, 07-tendermint-2823, connection-2338, channel-18865, icahost
neutron-1, 07-tendermint-19, connection-18, channel-538, icacontroller-neutron1xqq9mgw8n80uxc43efh4sj2f2zt73vptplzejh88xpu8mj2lwyys6pt972.rick-osmo-1, osmosis-1, 07-tendermint-2823, connection-2338, channel-19245, icahost
neutron-1, 07-tendermint-19, connection-18, channel-54, wasm.neutron1767kfqeglqyctuqsmvyzgjecs60lpqju2f590smxevk9duq5fhaqgk5eca, osmosis-1, 07-tendermint-2823, connection-2338, channel-12058, wasm.osmo1vw02frqejfw2v2w7dy6ws35jp9743dwkxy0laalwsuvzzvkszz7s8d93yw
neutron-1, 07-tendermint-19, connection-18, channel-542, icacontroller-neutron15e4zku32uwjrnk34herrvgh20wvr98z8e3z69x2avwth2k0em7fsxvg3sn.OOOO1, osmosis-1, 07-tendermint-2823, connection-2338, channel-19251, icahost
neutron-1, 07-tendermint-19, connection-18, channel-546, icacontroller-neutron15e4zku32uwjrnk34herrvgh20wvr98z8e3z69x2avwth2k0em7fsxvg3sn.test45, osmosis-1, 07-tendermint-2823, connection-2338, channel-19261, icahost
neutron-1, 07-tendermint-19, connection-18, channel-58, wasm.neutron14wfsdrpp9fhdfeh3wnfedz0jeeguxgz2jh5kk335zc9ghjac7mzs88tfau, osmosis-1, 07-tendermint-2823, connection-2338, channel-13106, wasm.osmo10j4qku3lzsqayyq6uhta4pzkv4fc97w3em9mjaxtvmv84y0fcats96lv89
neutron-1, 07-tendermint-19, connection-18, channel-61, wasm.neutron14wfsdrpp9fhdfeh3wnfedz0jeeguxgz2jh5kk335zc9ghjac7mzs88tfau, osmosis-1, 07-tendermint-2823, connection-2338, channel-13103, wasm.osmo10j4qku3lzsqayyq6uhta4pzkv4fc97w3em9mjaxtvmv84y0fcats96lv89
neutron-1, 07-tendermint-21, connection-21, channel-16, transfer, mars-1, 07-tendermint-64, connection-50, channel-37, transfer
neutron-1, 07-tendermint-29, connection-22, channel-17, transfer, centauri-1, 07-tendermint-66, connection-28, channel-18, transfer
neutron-1, 07-tendermint-31, connection-23, channel-18, transfer, stargaze-1, 07-tendermint-283, connection-211, channel-191, transfer
neutron-1, 07-tendermint-31, connection-23, channel-55, wasm.neutron10h7a9s60ytvzeqzffa53dzqk4rdwqchmuue7ezp2txcs7a2ky82qzl203t, stargaze-1, 07-tendermint-283, connection-211, channel-253, wasm.stars1f54x5q35vv39xv4dvjdxthj98xttulml2a86src2tf24mcpvq8wshc3px0
