CHAIN_ID, CLIENT, CONNECTION, CHANNEL, PORT, COUNTERPARTY_CHAIN, COUNTERPARTY_CLIENT, COUNTERPARTY_CONNECTION, COUNTERPARTY_CHANNEL, COUNTERPARTY_PORT
dymension_1100-1, 07-tendermint-0, connection-0, channel-0, transfer, stride-1, 07-tendermint-140, connection-131, channel-197, transfer
dymension_1100-1, 07-tendermint-1, connection-1, channel-1, transfer, cosmoshub-4, 07-tendermint-1205, connection-933, channel-794, transfer
dymension_1100-1, 07-tendermint-2, connection-2, channel-2, transfer, osmosis-1, 07-tendermint-3086, connection-2566, channel-19774, transfer
dymension_1100-1, 07-tendermint-3, connection-3, channel-3, transfer, kava_2222-10, 07-tendermint-162, connection-203, channel-144, transfer
dymension_1100-1, 07-tendermint-6, connection-5, channel-4, transfer, celestia, 07-tendermint-82, connection-52, channel-27, transfer
dymension_1100-1, 07-tendermint-7, connection-6, channel-5, transfer, axelar-dojo-1, 07-tendermint-197, connection-180, channel-138, transfer
dymension_1100-1, 07-tendermint-14, connection-7, channel-6, transfer, noble-1, 07-tendermint-79, connection-80, channel-62, transfer
dymension_1100-1, 07-tendermint-16, connection-9, channel-9, transfer, neutron-1, 07-tendermint-82, connection-61, channel-675, transfer
dymension_1100-1, 07-tendermint-17, connection-10, channel-10, transfer, kaiyo-1, 07-tendermint-169, connection-132, channel-160, transfer
